ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5008804,M,Y,Y,0,150967.33,Student,Higher education,Married,House / apartment,-11423,-2540,1,0,1,0,Laborers,2
5008805,F,N,Y,1,160574.76,Pensioner,Higher education,Civil marriage,House / apartment,-9262,365243,1,0,1,0,,3
5008806,F,N,N,0,79108.22,State servant,Lower secondary,Widow,Municipal apartment,-17581,-7809,1,0,1,1,Core staff,1
5008807,M,N,Y,0,218730.67,Commercial associate,Higher education,Civil marriage,Co-op apartment,-23749,-11194,1,0,0,0,High skill tech staff,2
5008808,F,N,Y,0,182705.83,Working,Higher education,Single / not married,Office apartment,-22714,-5204,1,1,1,0,HR staff,1
5008809,M,Y,Y,0,111157.38,Student,Secondary / secondary special,Single / not married,Office apartment,-16142,-7275,1,0,0,0,Managers,1
5008810,F,N,Y,0,126929.52,Pensioner,Secondary / secondary special,Civil marriage,Co-op apartment,-13509,365243,1,1,1,0,,2
5008811,M,N,N,0,150589.9,Commercial associate,Secondary / secondary special,Civil marriage,Co-op apartment,-16385,-2097,1,0,0,0,Private service staff,2
5008812,F,Y,N,1,156447.9,Pensioner,Higher education,Widow,House / apartment,-9140,365243,1,1,0,1,,2
5008813,M,Y,Y,0,113308.36,Student,Secondary / secondary special,Widow,Co-op apartment,-19513,-9276,1,1,1,0,Low-skill Laborers,1
5008814,F,Y,Y,0,156112.82,Commercial associate,Secondary / secondary special,Married,With parents,-8827,-247,1,0,0,0,Cleaning staff,2
5008815,F,Y,Y,2,86537.17,State servant,Secondary / secondary special,Separated,With parents,-9289,-1851,1,1,1,0,Private service staff,3
5008816,M,N,N,0,123157.38,Pensioner,Secondary / secondary special,Single / not married,With parents,-16876,365243,1,0,1,0,,1
5008817,F,Y,N,0,40679.76,Student,Incomplete higher,Widow,House / apartment,-24304,-16438,1,0,1,0,Medicine staff,1
5008818,M,N,N,0,45382.89,State servant,Secondary / secondary special,Separated,Municipal apartment,-14931,-8008,1,1,0,0,IT staff,1
5008819,M,N,Y,0,140999.51,Working,Higher education,Widow,With parents,-8646,-1142,1,0,0,0,High skill tech staff,1
5008820,M,N,N,0,134105.45,Working,Secondary / secondary special,Widow,Office apartment,-16644,-9424,1,1,0,0,Accountants,1
5008821,M,N,Y,0,204802.89,Working,Higher education,Widow,With parents,-16354,-1453,1,0,0,0,Private service staff,1
5008822,M,N,Y,0,79101.63,Student,Lower secondary,Single / not married,Municipal apartment,-9651,-492,1,0,1,0,IT staff,1
5008823,M,N,Y,0,106859.42,State servant,Secondary / secondary special,Civil marriage,With parents,-20394,-7706,1,0,0,0,Waiters/barmen staff,2
5008824,M,N,N,0,100515.01,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-11276,-1310,1,1,1,1,Managers,2
5008825,M,N,Y,0,254308.12,Commercial associate,Higher education,Separated,Co-op apartment,-22503,-12948,1,0,0,0,Security staff,1
5008826,M,N,Y,1,44073.09,Pensioner,Secondary / secondary special,Separated,Municipal apartment,-12452,365243,1,0,1,0,,2
5008827,F,N,N,0,81949.3,Pensioner,Secondary / secondary special,Separated,Municipal apartment,-20177,365243,1,1,1,0,,1
5008828,M,N,Y,0,207064.77,Working,Higher education,Single / not married,Municipal apartment,-15074,-8074,1,1,0,0,Cleaning staff,1
5008829,F,N,Y,0,155869.62,Student,Higher education,Separated,Co-op apartment,-20513,-2576,1,1,0,0,Cooking staff,1
5008830,M,N,Y,0,144654.45,State servant,Secondary / secondary special,Single / not married,Co-op apartment,-9125,-1403,1,0,0,0,Cleaning staff,1
5008831,M,N,Y,0,104142.07,Student,Lower secondary,Single / not married,Co-op apartment,-19624,-6543,1,0,0,0,Medicine staff,1
5008832,M,N,Y,1,158891.26,State servant,Higher education,Married,Rented apartment,-9959,-1670,1,1,1,0,Realty agents,3
5008833,F,N,Y,2,186196.82,State servant,Higher education,Civil marriage,Office apartment,-15989,-2391,1,0,1,0,Secretaries,4
5008834,F,Y,Y,0,165136.94,Commercial associate,Secondary / secondary special,Separated,Municipal apartment,-16985,-4435,1,1,1,1,Accountants,1
5008835,M,N,N,0,77345.7,Pensioner,Secondary / secondary special,Separated,Office apartment,-20502,365243,1,0,1,0,,1
5008836,F,N,Y,0,298422.98,Commercial associate,Higher education,Married,House / apartment,-18704,-1803,1,0,0,0,Secretaries,2
5008837,F,Y,Y,1,101484.02,State servant,Secondary / secondary special,Married,Co-op apartment,-16930,-10354,1,0,0,0,Private service staff,3
5008838,M,N,N,0,115919.43,Commercial associate,Secondary / secondary special,Married,Office apartment,-23940,-8173,1,1,0,0,Security staff,2
5008839,M,N,Y,0,156551.46,Pensioner,Secondary / secondary special,Separated,Rented apartment,-23832,365243,1,0,0,0,,1
5008840,M,Y,N,1,246830.14,Working,Higher education,Married,Municipal apartment,-16815,-6836,1,1,0,0,Sales staff,3
5008841,F,Y,N,0,213370.15,Commercial associate,Higher education,Civil marriage,Office apartment,-21544,-8140,1,1,1,0,HR staff,2
5008842,F,Y,Y,2,87164.85,State servant,Secondary / secondary special,Widow,Co-op apartment,-14176,-395,1,0,1,0,Cleaning staff,3
5008843,F,Y,N,1,121410.46,Working,Secondary / secondary special,Single / not married,Co-op apartment,-14647,-4563,1,1,1,0,Medicine staff,2
5008844,M,Y,Y,0,99871.4,Student,Secondary / secondary special,Civil marriage,Rented apartment,-24779,-10101,1,1,1,0,Private service staff,2
5008845,M,Y,Y,0,69023.8,Commercial associate,Secondary / secondary special,Civil marriage,Co-op apartment,-17791,-8571,1,0,0,0,Cooking staff,2
5008846,F,Y,Y,0,132101.0,Working,Secondary / secondary special,Single / not married,Co-op apartment,-22578,-7949,1,1,1,0,Laborers,1
5008847,F,Y,Y,2,112641.28,Working,Secondary / secondary special,Married,With parents,-10231,-2138,1,0,0,0,Cooking staff,4
5008848,F,N,N,0,159894.9,State servant,Secondary / secondary special,Widow,Rented apartment,-12912,-4005,1,0,0,0,Managers,1
5008849,M,Y,Y,0,144514.55,State servant,Secondary / secondary special,Married,With parents,-12616,-1839,1,0,0,1,Secretaries,2
5008850,M,N,Y,0,97411.68,Commercial associate,Incomplete higher,Widow,Municipal apartment,-15209,-4144,1,1,1,0,Cooking staff,1
5008851,F,N,Y,2,181148.3,Student,Higher education,Widow,Office apartment,-23992,-17410,1,0,0,0,Security staff,3
5008852,F,N,Y,0,260731.55,State servant,Higher education,Separated,Municipal apartment,-13181,-854,1,1,1,0,High skill tech staff,1
5008853,F,N,Y,1,101191.75,Working,Secondary / secondary special,Separated,Office apartment,-21831,-199,1,1,1,0,IT staff,2
5008854,F,N,Y,0,146697.57,Pensioner,Secondary / secondary special,Separated,Co-op apartment,-15991,365243,1,0,0,0,,1
5008855,F,N,Y,0,267002.39,Working,Academic degree,Single / not married,Rented apartment,-23680,-5122,1,1,1,1,Security staff,1
5008856,M,N,Y,0,184514.46,Commercial associate,Secondary / secondary special,Separated,Municipal apartment,-23708,-8789,1,1,1,0,Laborers,1
5008857,F,N,Y,0,30000.0,Student,Secondary / secondary special,Single / not married,Co-op apartment,-11769,-2102,1,0,1,0,Waiters/barmen staff,1
5008858,F,N,Y,1,167803.63,State servant,Lower secondary,Married,Rented apartment,-9381,-2572,1,0,1,0,Laborers,3
5008859,M,Y,N,0,269362.69,State servant,Higher education,Widow,Rented apartment,-24049,-11021,1,0,0,0,HR staff,1
5008860,F,N,N,0,107369.75,Working,Secondary / secondary special,Married,House / apartment,-13238,-546,1,1,1,0,Private service staff,2
5008861,F,N,N,0,130820.58,State servant,Secondary / secondary special,Widow,With parents,-11656,-3307,1,1,0,0,Secretaries,1
5008862,F,N,Y,0,95755.74,Pensioner,Secondary / secondary special,Separated,Rented apartment,-9501,365243,1,1,1,0,,1
5008863,F,Y,N,0,144577.35,Working,Secondary / secondary special,Civil marriage,With parents,-18598,-7535,1,0,0,0,Drivers,2
5008864,F,Y,Y,0,120600.72,Pensioner,Incomplete higher,Single / not married,Office apartment,-22716,365243,1,1,1,0,,1
5008865,F,N,N,2,139266.52,Pensioner,Secondary / secondary special,Married,With parents,-20616,365243,1,0,1,1,,4
5008866,F,Y,Y,0,136195.15,Pensioner,Secondary / secondary special,Widow,Rented apartment,-21788,365243,1,1,0,0,,1
5008867,F,Y,N,0,177789.85,Commercial associate,Incomplete higher,Separated,Co-op apartment,-12857,-2673,1,0,0,0,Drivers,1
5008868,F,Y,Y,0,145546.05,Pensioner,Secondary / secondary special,Widow,Rented apartment,-17752,365243,1,0,1,0,,1
5008869,F,N,N,0,151425.24,Commercial associate,Higher education,Civil marriage,House / apartment,-24509,-6703,1,0,1,0,Private service staff,2
5008870,M,N,N,0,144777.17,Student,Secondary / secondary special,Widow,With parents,-17736,-9109,1,1,0,0,Medicine staff,1
5008871,M,Y,N,3,110629.89,Commercial associate,Secondary / secondary special,Single / not married,Office apartment,-13228,-1310,1,0,1,0,Core staff,4
5008872,M,N,N,0,70356.18,Student,Secondary / secondary special,Widow,Municipal apartment,-15533,-8643,1,1,1,0,Core staff,1
5008873,M,N,N,0,92383.28,Student,Secondary / secondary special,Widow,Co-op apartment,-17719,-7989,1,1,1,0,Low-skill Laborers,1
5008874,F,Y,N,1,219305.38,Student,Higher education,Separated,With parents,-14774,-6816,1,1,0,0,Low-skill Laborers,2
5008875,F,N,Y,0,101697.31,Working,Incomplete higher,Civil marriage,With parents,-17221,-6319,1,1,0,0,IT staff,2
5008876,F,N,N,2,124778.6,Pensioner,Higher education,Single / not married,Co-op apartment,-15947,365243,1,0,1,0,,3
5008877,F,Y,Y,0,141812.22,Student,Secondary / secondary special,Married,Office apartment,-23619,-14169,1,0,0,0,Security staff,2
5008878,F,N,Y,0,123353.22,State servant,Secondary / secondary special,Separated,Municipal apartment,-10372,-1309,1,0,0,0,Cleaning staff,1
5008879,M,N,Y,0,112492.89,State servant,Secondary / secondary special,Widow,House / apartment,-13595,-940,1,1,0,0,HR staff,1
5008880,M,Y,Y,0,83581.69,Pensioner,Secondary / secondary special,Separated,Co-op apartment,-15063,365243,1,0,1,0,,1
5008881,M,N,N,1,111898.72,Working,Secondary / secondary special,Married,Municipal apartment,-17554,-6373,1,1,0,0,Waiters/barmen staff,3
5008882,F,Y,N,0,137157.19,Pensioner,Higher education,Widow,House / apartment,-14464,365243,1,1,1,0,,1
5008883,M,Y,Y,0,111709.89,Pensioner,Secondary / secondary special,Married,With parents,-12064,365243,1,0,0,0,,2
5008884,M,Y,N,0,153772.25,Student,Higher education,Widow,Co-op apartment,-18576,-7563,1,0,1,0,Cleaning staff,1
5008885,F,N,N,0,96262.81,Working,Secondary / secondary special,Married,Municipal apartment,-21947,-1348,1,1,1,0,Sales staff,2
5008886,M,N,N,0,122219.28,State servant,Secondary / secondary special,Separated,House / apartment,-21591,-12604,1,0,0,0,Sales staff,1
5008887,F,N,Y,0,65745.48,Pensioner,Secondary / secondary special,Widow,House / apartment,-21218,365243,1,1,0,0,,1
5008888,F,Y,N,0,122595.34,Commercial associate,Incomplete higher,Single / not married,Municipal apartment,-12995,-4275,1,0,0,0,Low-skill Laborers,1
