ID,MONTHS_BALANCE,STATUS
5008804,0,X
5008804,-1,0
5008804,-2,C
5008804,-3,0
5008804,-4,0
5008804,-5,X
5008804,-6,0
5008804,-7,0
5008804,-8,C
5008804,-9,0
5008804,-10,0
5008804,-11,X
5008804,-12,C
5008804,-13,0
5008804,-14,X
5008804,-15,C
5008804,-16,0
5008804,-17,C
5008804,-18,0
5008805,0,C
5008805,-1,X
5008805,-2,0
5008805,-3,C
5008805,-4,C
5008805,-5,0
5008805,-6,0
5008805,-7,0
5008805,-8,C
5008805,-9,X
5008805,-10,C
5008805,-11,X
5008805,-12,C
5008805,-13,C
5008805,-14,X
5008805,-15,1
5008805,-16,C
5008805,-17,0
5008805,-18,C
5008805,-19,C
5008805,-20,C
5008805,-21,C
5008805,-22,X
5008805,-23,X
5008806,0,0
5008806,-1,C
5008806,-2,0
5008806,-3,0
5008806,-4,0
5008807,0,C
5008807,-1,C
5008807,-2,C
5008807,-3,C
5008807,-4,C
5008807,-5,X
5008807,-6,X
5008807,-7,C
5008807,-8,C
5008807,-9,C
5008807,-10,0
5008807,-11,X
5008807,-12,C
5008808,0,C
5008808,-1,0
5008808,-2,X
5008808,-3,0
5008808,-4,C
5008808,-5,0
5008808,-6,0
5008808,-7,0
5008808,-8,C
5008808,-9,C
5008808,-10,0
5008808,-11,C
5008808,-12,0
5008808,-13,1
5008808,-14,0
5008808,-15,0
5008808,-16,C
5008808,-17,0
5008809,0,0
5008809,-1,C
5008809,-2,X
5008809,-3,0
5008809,-4,0
5008809,-5,C
5008809,-6,C
5008809,-7,C
5008809,-8,C
5008810,0,X
5008810,-1,X
5008810,-2,C
5008811,0,X
5008811,-1,C
5008811,-2,C
5008811,-3,C
5008811,-4,X
5008812,0,C
5008812,-1,C
5008812,-2,X
5008812,-3,C
5008812,-4,C
5008812,-5,0
5008812,-6,0
5008812,-7,C
5008812,-8,C
5008812,-9,0
5008812,-10,C
5008812,-11,X
5008812,-12,C
5008812,-13,C
5008812,-14,0
5008812,-15,0
5008812,-16,C
5008812,-17,X
5008812,-18,X
5008812,-19,0
5008813,0,C
5008813,-1,X
5008813,-2,C
5008813,-3,C
5008813,-4,C
5008813,-5,0
5008813,-6,0
5008813,-7,0
5008813,-8,X
5008813,-9,C
5008813,-10,C
5008813,-11,C
5008813,-12,C
5008813,-13,0
5008813,-14,C
5008813,-15,X
5008813,-16,X
5008814,0,C
5008814,-1,C
5008814,-2,X
5008815,0,C
5008815,-1,C
5008815,-2,C
5008815,-3,C
5008815,-4,C
5008815,-5,C
5008815,-6,0
5008815,-7,C
5008815,-8,C
5008815,-9,X
5008815,-10,C
5008815,-11,0
5008815,-12,C
5008815,-13,C
5008815,-14,0
5008815,-15,0
5008815,-16,0
5008815,-17,X
5008815,-18,C
5008815,-19,0
5008815,-20,C
5008815,-21,C
5008816,0,0
5008816,-1,0
5008816,-2,C
5008816,-3,0
5008816,-4,C
5008816,-5,0
5008816,-6,X
5008816,-7,C
5008816,-8,C
5008816,-9,0
5008816,-10,0
5008816,-11,X
5008816,-12,0
5008816,-13,C
5008816,-14,C
5008816,-15,0
5008816,-16,0
5008817,0,X
5008817,-1,C
5008817,-2,C
5008817,-3,C
5008817,-4,X
5008817,-5,X
5008817,-6,0
5008817,-7,0
5008818,0,C
5008818,-1,0
5008818,-2,C
5008818,-3,X
5008818,-4,X
5008818,-5,0
5008818,-6,C
5008818,-7,C
5008818,-8,0
5008819,0,C
5008819,-1,C
5008819,-2,0
5008819,-3,0
5008819,-4,C
5008819,-5,C
5008820,0,0
5008820,-1,1
5008820,-2,1
